[0] 0:00	a [Music]
[2451] 4:43:58	um rituals okay that's a beautiful adame um I can just feel the power of
[2452] 4:44:06	coming off of it just feeling the power off of it and she goes it is wiced made
[2453] 4:44:14	isn't it I said no it's fundamentalist Christian
[2454] 4:44:21	made her brain just shorted out were so
[2455] 4:44:27	[Laughter]
[2456] 4:44:34	funny it was was hysterical but it showed her okay yeah
[2457] 4:44:41	you know wiccans aren't the only people who can make beautiful jewelry and make beautiful objects of
[2458] 4:44:46	art it was her first encounter with a Christian who could
[2459] 4:44:52	make art and she couldn't and she couldn't handle it it was just like it quaggled
[2460] 4:44:57	her it was like like like she was her brain was short circuiting right there I mean she didn't say anything for
[2461] 4:45:03	literally like two minutes oh yeah she was silent for two minutes she couldn't she couldn't process it and her eyes
[2462] 4:45:09	were kind of fing back yeah yeah she was having a really difficult time processing
[2463] 4:45:15	it but that's what we need to do is we need to break
[2464] 4:45:21	expectations need to genuine what we do we need to do it because we yeah we do
[2465] 4:45:27	it because we care about them we want these in heaven God wants them in yeah
[2466] 4:45:33	we're not doing this for our egos if you're doing it for your ego you're doing it for the wrong reason we're
[2467] 4:45:39	doing it to reach and frankly do everything you can to
[2468] 4:45:44	reach your neighbor for Christ that's what this is
[2469] 4:45:49	about if it is by Bible teaching fantastic tell the super
[2470] 4:45:56	St oh um talk about something you wouldn't think God used but we went a
[2471] 4:46:02	Japanese we went to a Japanese sword show once and cuz we were we we had a
[2472] 4:46:10	fascination with Japanese SS and there was a local conference uh uh con uh sore convention near us so we would we would
[2473] 4:46:17	spend an afternoon at this sore convention and there was this one guy vendor that you know he told us you know
[2474] 4:46:23	he missed Bible studies missed Bible studies and you know he he said you know
[2475] 4:46:29	there's this one verse that that really sort of I I don't understand and it's like was in John 15 and like okay let's
[2476] 4:46:36	look at this and we looked at it and we had this little bible study happening in a hotel um say was it um it was just
[2477] 4:46:46	in the hallway it was just in the hallway and we were we were having this little bible study in the hallway for
[2478] 4:46:52	about 30 minutes another guy came up we had a bunch yeah we had a crowd around
[2479] 4:46:59	us by the time we were done people who had had not heard the Bible being talked about in
[2480] 4:47:05	years all of a sudden we're hearing this bible stuff by earshot coming in and
[2481] 4:47:10	joining in on this little informal half hour Bible study in this middle of a
[2482] 4:47:16	sword show a Japanese sword show talk about engage in culture we did
[2483] 4:47:25	it right then and there he gave
[2484] 4:47:31	us and he gave and and he and he gave us um as a thank you
[2485] 4:47:41	um we were floored by he gave us a thank you he gave us a Japanese subba as a gift and he said this is very special
[2486] 4:47:50	because it's portrays a scribe
[2487] 4:47:55	teaching it was a very thoughtful gift very very thoughtful
[2488] 4:48:01	gift but this is how we engage the culture is we go places that you wouldn't expect to give the
[2489] 4:48:09	gospel the go gospel is intrusive the the kingdom of Christ
[2490] 4:48:15	wants to invade every space this is why Christ says the Gates of Hell shall not Prevail against the
[2491] 4:48:24	gospel Christ is kicking down the Gates of Hell the gates of hell here is the
[2492] 4:48:29	barrier of the Gospel uh of people to the gospel the gospel Kicks Down the Gates
[2493] 4:48:37	of Hell to reach people where they're at
[2494] 4:48:45	and that's why again this is why we we encourage people to do a multivariant
[2495] 4:48:52	approach don't just pick one thing and think that's going to suffice for for
[2496] 4:48:57	for teaching preaching and Outreach because it isn't yes what we do here fantastic we
[2497] 4:49:05	we love coming on we love answering your questions we love we I mean we will we'll always take your questions in
[2498] 4:49:10	Egypt in the Bible always that's the primary goal of this channel is to do that but we also believe in the other
[2499] 4:49:17	two the cultural engagement as well go out and make disciples of all
[2500] 4:49:24	Nations teaching them to deserve all that I have commanded
[2501] 4:49:29	you that's a go not a wait so go out join a club go
[2502] 4:49:38	out start a um you know a have a reading Circle uh a reader Club you know there's
[2503] 4:49:44	a lot of ways you can do this yeah I
[2504] 4:49:51	yeah conversations yeah so there's a lot of ways you can do this and that's why
[2505] 4:49:57	one of the ways we we do is we encourage young people to write why on our Discord
[2506] 4:50:03	server we have a writers Group by the way if you want to continue the conversation offline
[2507] 4:50:10	join the Discord it's it's not a it's not a place where we'll answer your questions but
[2508] 4:50:15	it's a yeah
[2509] 4:50:22	that's yeah um so if you are if if you are into writing come join our Discord and join our writers group we would
[2510] 4:50:29	really liked it yeah um too many marri cheeri of fire did yeah that was a very Christian movie
[2511] 4:50:35	and a Christian book and it was that was a great Christian movie it was very influential
[2512] 4:50:42	okay uh we'll take one Super Chat and then we're going to call it a night here cuz we are well almost into 1: here what
[2513] 4:50:49	do we have for a non- Super Chat that we can take quickly
[2514] 4:50:55	here okay
[2515] 4:51:12	just a second here I'll be right
[2516] 4:51:39	back e
[2517] 4:52:31	we' got
[2518] 4:52:37	okay sure uh 10:06 pm
[2519] 4:52:42	10:06 p.m. all right let's look look at
[2520] 4:52:48	this and this will probably be the
[2521] 4:52:55	last 106 p.m. this will be the last question of
[2522] 4:53:00	the night
[2523] 4:53:31	10:6 okay uh this is from Warrior the most time this will be our last question of the night here and the question is is it a good
[2524] 4:53:39	idea to ref refence real world mythology or events while describing something in
[2525] 4:53:45	a book that's set in an alternate uh Earth with his own mythology and history well there's nothing inherently
[2526] 4:53:52	wrong with this the you're you're broaching here the idea of alternate alternate histories alternate histories
[2527] 4:54:00	and Alternate histories are a genre of fiction that are that are unique
[2528] 4:54:08	now here's the thing um I would say if
[2529] 4:54:13	you do this still present it within a Christian world view because again this is the this is the exercise of art
[2530] 4:54:22	that's Christian is that you want still want to present things within a Christian world viiew but you can within
[2531] 4:54:29	that framework reference other mythologies other events and even alternate
[2532] 4:54:37	histories and if if anything that's really creative way to do this like for
[2533] 4:54:44	example you know there's this whole question of can you as a
[2534] 4:54:51	Christian um reference the Viking gods in
[2535] 4:54:57	a in a work of fiction well you can but you got to do
[2536] 4:55:05	it in a certain way you know like for example
[2537] 4:55:11	there um you see this you see this for example in um the movie Merlin or sry
[2538] 4:55:17	not Merlin um Excalibur remember the movie
[2539] 4:55:25	Excalibur yeah now one of the things about the
[2540] 4:55:30	movie Excalibur is you know there's there's
[2541] 4:55:35	this um interchange between um uh uh uh
[2542] 4:55:41	what's it her name is Morgan Erin and Merlin and you know she's she wants to
[2543] 4:55:48	to learn magic from Merlin and and she goes uh you know
[2544] 4:55:55	teach me the sorcerer's ways and Merlin says to her the old gods
[2545] 4:56:02	are dying all of them are falling before the Christian
[2546] 4:56:08	God very interesting it's a very interesting little thing because you would see this this this this sort of
[2547] 4:56:16	demigod being Merlin who's who's being then you know
[2548] 4:56:23	he he's portraying this as yeah you know
[2549] 4:56:29	the old gods are dying they're losing their power they're no longer
[2550] 4:56:36	relevant so here's a here's an very interesting overlap between the mythology of the of
[2551] 4:56:44	say the anglosaxon world you know but yet it's being
[2552] 4:56:51	superseded by a Christian world view yes they're false
[2553] 4:56:58	gods and you can reference those and you can reference them in many
[2554] 4:57:04	ways there's many different ways you can reference them okay but again as long as you have
[2555] 4:57:11	that um that Christian world view given priority not necessarily in your face it
[2556] 4:57:18	doesn't have to be in your face but just that understanding that um that you know all
