[0] 0:47	Heat. Heat. N.
[3820] 3:15:48	the Roman Catholic Church from that
[3821] 3:15:50	excommunication because that
[3822] 3:15:52	excommunication was so outrageous.
[3823] 3:15:55	But um I mean really that papal
[3824] 3:15:59	authority
[3825] 3:16:01	um it does that excommunication does
[3826] 3:16:04	undermine papal authority and it
[3827] 3:16:07	undermines it in a couple ways
[3828] 3:16:10	in that first of all that whole idea
[3829] 3:16:11	that you know priests can't marry. Well,
[3830] 3:16:16	there are Latin right priests that are
[3831] 3:16:18	married
[3832] 3:16:20	um you know especially in the east where
[3833] 3:16:24	where where uh a priest has no gravitas
[3834] 3:16:26	in a local community without being
[3835] 3:16:28	married. So they have carved out an
[3836] 3:16:30	exception for that already. The second
[3837] 3:16:33	thing was the whole um issue of monism,
[3838] 3:16:36	you know, well
[3839] 3:16:38	the
[3840] 3:16:40	the idea that the Holy Spirit speaks
[3841] 3:16:42	through the the church is something that
[3842] 3:16:46	you know was was was part and parcel of
[3843] 3:16:47	monism. But if if you deny monism too,
[3844] 3:16:51	how do you say then that you have the
[3845] 3:16:54	pope speaking on behalf of the Holy
[3846] 3:16:56	Spirit?
[3847] 3:16:59	It's sort of it's sort of wow that just
[3848] 3:17:03	it just sort of yeah it's just that
[3849] 3:17:06	whole that whole excommunication and
[3850] 3:17:08	that whole incident with Tertullian say
[3851] 3:17:11	undermines papal authority. It
[3852] 3:17:13	undermines um um you know the um uh the
[3853] 3:17:19	traditions of the Catholic Church. It's
[3854] 3:17:21	it's not a good look. It's really not a
[3855] 3:17:23	good look. And I don't think there's any
[3856] 3:17:26	re a reasonable doubt that that
[3857] 3:17:28	excommunication happened. So
[3858] 3:17:33	okay.
[3859] 3:17:42	Uh Louis Sandival says uh could it be
[3860] 3:17:44	that totally perhaps people are afraid
[3861] 3:17:47	to get certain things wrong in theology
[3862] 3:17:49	will get them to hell? Um I'm not sure
[3863] 3:17:51	what uh what he means here by this.
[3864] 3:17:55	Could it be that regarding Tatulian
[3865] 3:17:57	perhaps people are afraid to get certain
[3866] 3:17:59	things wrong in theology will get them
[3867] 3:18:01	to hell? I I don't know. I don't think
[3868] 3:18:03	that's really a justification here for
[3869] 3:18:05	anything. Um I think it's this is this
[3870] 3:18:07	is a unfortunate historical situation
[3871] 3:18:11	that happened in the history of the
[3872] 3:18:12	church. Um I think that the Roman
[3873] 3:18:15	Catholics were wrong here. Really wrong.
[3874] 3:18:19	Um, and I think it's it's come to
[3875] 3:18:22	historically to bite them in the butt. I
[3876] 3:18:24	think that's what's really at issue
[3877] 3:18:26	here. So,
[3878] 3:18:27	>> and as far as
[3879] 3:18:30	>> Mhm.
[3880] 3:18:31	>> it depends
[3881] 3:18:34	and
[3882] 3:18:37	going.
[3883] 3:18:39	>> Well, we have to be careful of what we
[3884] 3:18:41	mean by heresy too.
[3885] 3:18:44	Not being wrong is not not a sin.
[3886] 3:18:48	Being radical will get you excluded.
[3887] 3:18:51	Now, people play fast and loose with
[3888] 3:18:54	with the term heresy, and they've always
[3889] 3:18:56	have played fast and loose with it.
[3890] 3:18:59	>> They call
[3891] 3:19:01	>> Yeah.
[3892] 3:19:02	>> Correct.
[3893] 3:19:02	>> If it if it if it changes, say, who is
[3894] 3:19:05	God or the status of man, then that can
[3895] 3:19:09	be a heresy that excludes you from
[3896] 3:19:11	salvation. But a lot of what's called as
[3897] 3:19:13	heresy won't exclude you from salvation.
[3898] 3:19:16	The whole idea that the Holy Spirit
[3899] 3:19:18	speaks to the church today and through
[3900] 3:19:21	the church isn't heresy even though it
[3901] 3:19:25	was called heresy by the Roman Catholic
[3902] 3:19:27	Church. No, it's it's part and parcel to
[3903] 3:19:32	to the book. Whole book of acts. The
[3904] 3:19:35	whole book of acts basically has the
[3905] 3:19:38	holy spirit teaching, leading,
[3906] 3:19:41	illuminating, guiding, instructing all
[3907] 3:19:45	these active things. We really shouldn't
[3908] 3:19:48	call the uh book of acts the acts of the
[3909] 3:19:50	apostles. We should really call it the
[3910] 3:19:51	acts of the Holy Spirit because that's
[3911] 3:19:54	what essentially the book of Acts is is
[3912] 3:19:57	the Holy Spirit acting in the early
[3913] 3:19:58	church.
[3914] 3:20:00	But what early Roman Catholic thought
[3915] 3:20:02	said was um the Holy Spirit ceased with
[3916] 3:20:08	the apostles
[3917] 3:20:11	so that the influence of the Holy Spirit
[3918] 3:20:13	had no more influence on the church
[3919] 3:20:15	apart from what was in the sacred texts.
[3920] 3:20:18	And I think that's hogwash.
[3921] 3:20:20	Tertullians thought that was hogwash.
[3922] 3:20:24	Um, but the Holy Spirit did not cease
[3923] 3:20:28	working in the church with the deaths of
[3924] 3:20:30	the apostles. It continued on and on and
[3925] 3:20:34	on through every church council, every
[3926] 3:20:37	theological debate, every conflict.
[3927] 3:20:41	It's just
[3928] 3:20:43	it's just I think this is just kind of
[3929] 3:20:45	annoying
[3930] 3:20:47	that we have to still
[3931] 3:20:50	come to terms with this. So,
[3932] 3:20:55	so you know, the Holy Spirit speaking
[3933] 3:20:57	through the church isn't heresy.
[3934] 3:21:00	It's revealed scripture.
[3935] 3:21:03	So,
[3936] 3:21:05	so um yeah, I
[3937] 3:21:09	it's this is not so this is just
[3938] 3:21:12	interpretations that have
[3939] 3:21:16	been doubled down upon and
[3940] 3:21:20	people are too afraid to admit that they
[3941] 3:21:24	were wrong, that the church was wrong in
[3942] 3:21:26	certain places
[3943] 3:21:28	and that those those opinions were
[3944] 3:21:31	eventually repeated. build over time
[3945] 3:21:33	because it undermines the authority of
[3946] 3:21:35	the Roman Catholic Church. So I think
[3947] 3:21:38	that's what was going on there.
[3948] 3:21:42	Okay.
[3949] 3:21:44	Uh Tao Chong asks, "Are you familiar
[3950] 3:21:46	with temple scholars Joseph Good and
[3951] 3:21:49	Rico Cortez?" No, I'm not. No, those are
[3952] 3:21:51	those are not in sort of my spheres of
[3953] 3:21:53	influence. Um I I'm a I'm essentially a
[3954] 3:21:56	um ancient near east Old Testament
[3955] 3:21:58	scholar. That's what I am.
[3956] 3:22:00	uh my specialty is in an Egyptology. Um
[3957] 3:22:04	but I also know a lot of Bible too
[3958] 3:22:06	because of my area of research
[3959] 3:22:08	intersects with the particularly the
[3960] 3:22:11	penetuk.
[3961] 3:22:12	So I'm very familiar with stuff like the
[3962] 3:22:14	ark of the covenant, the tabernacle, um
[3963] 3:22:17	that sort of thing. So that's really my
[3964] 3:22:20	anything penet sure I'm I'm good with
[3965] 3:22:23	that. Um anything Egyptological, I know
[3966] 3:22:26	that archaeology very well because
[3967] 3:22:28	that's my specialty. So um that's
[3968] 3:22:32	um that's sort of my u forte there.
[3969] 3:22:35	Okay. So so modern temple scholars like
[3970] 3:22:39	like uh good and Cortez I don't have
[3971] 3:22:42	much interaction with at all. So I don't
[3972] 3:22:44	really know what they say.
[3973] 3:22:46	Uh they're those guys are looking at
[3974] 3:22:48	something else other than what I'm
[3975] 3:22:50	looking at really.
[3976] 3:22:56	Okay. And we'll take this question here
[3977] 3:22:59	from Harry Stark.
[3978] 3:23:01	Did the Assyrian Church of the East
[3979] 3:23:03	actually adhere to notorianism and
[3980] 3:23:05	heresy? Um
[3981] 3:23:09	the Eastern Right
[3982] 3:23:11	uh what's called say um
[3983] 3:23:14	uh what's it called? It's it's called
[3984] 3:23:16	the Eastern Right, I believe is what's
[3985] 3:23:18	called. Um
[3986] 3:23:21	some of them did actually adhere to
[3987] 3:23:23	Ntorianism.
[3988] 3:23:25	Um I don't think they ever went to full
[3989] 3:23:27	mapicitism like the cops did. Um
[3990] 3:23:31	now the cops are a different case
[3991] 3:23:33	because they were they were accused of
[3992] 3:23:35	being monoposite
[3993] 3:23:37	but they were actually maposite but they
[3994] 3:23:40	didn't have the terminology to correctly
[3995] 3:23:43	articulate mapitism.
[3996] 3:23:45	So they were called monophysicites but
[3997] 3:23:48	they weren't really monoposites although
[3998] 3:23:50	they sometimes embrace that term
[3999] 3:23:52	themselves. So in the case of say the
[4000] 3:23:54	Coptic church there was a um disconnect
[4001] 3:23:58	between
[4002] 3:24:00	um the terminology
[4003] 3:24:02	and the meaning. Okay. But in the case
[4004] 3:24:05	of the Assyrian Church of the East um a
[4005] 3:24:09	lot of them did fully embrace
[4006] 3:24:10	notorianism.
[4007] 3:24:12	Um so um and notorianism for those of
[4008] 3:24:16	you who don't know um is the belief that
[4009] 3:24:19	there were two persons of Christ. a
[4010] 3:24:22	spirit person
[4011] 3:24:24	and a physical person, a human person.
[4012] 3:24:27	And they sort of kind of hung out with
[4013] 3:24:29	each other, okay? Not the same person.
[4014] 3:24:32	They just hung out.
[4015] 3:24:35	So when Christ performed the miracle, it
[4016] 3:24:38	was the spirit Christ. He was for doing
[4017] 3:24:40	the miracle. When Christ Jesus ate,
[4018] 3:24:43	that's the human person of Christ
[4019] 3:24:45	eating. So two persons of Christ hanging
[4020] 3:24:49	out with each other, but not the same
[4021] 3:24:51	person.
[4022] 3:24:53	So, historianism gets a little weird and
[4023] 3:24:57	wicky. So, uh uh yeah, I definitely
[4024] 3:25:02	wouldn't recommend it as a theological
[4025] 3:25:03	go-to, but um
[4026] 3:25:07	uh it was it was the Oh, yeah. It's
[4027] 3:25:09	definitely non-caledonian. Yeah. Uh DBC
[4028] 3:25:12	for say non-caledonianism.
[4029] 3:25:14	Yeah, it's uh the Assyrian the eastern
[4030] 3:25:17	right is is definitely
[4031] 3:25:19	um the church of the east is definitely
[4032] 3:25:22	non-caledon.
[4033] 3:25:23	Okay. Um and I think I think uh even
[4034] 3:25:27	though a lot of churches don't recognize
[4035] 3:25:28	the council of uh Calcedon, I think it's
[4036] 3:25:31	a good council. It's a good council. It
[4037] 3:25:34	was a good um it was a good resolution.
[4038] 3:25:38	Definitely. Um uh definitely I loved its
[4039] 3:25:41	creed. Um I basically um and I think
[4040] 3:25:45	that should have been one of the
[4041] 3:25:46	ecumenical councils um even though
[4042] 3:25:49	there's there's many who don't consider
[4043] 3:25:50	it a part of the um ecumenical councils
[4044] 3:25:54	but I think it's definitely there. So so
[4045] 3:25:58	um so I hope that helps. Okay.
[4046] 3:26:13	uh loose sandal regard regarding Harry
[4047] 3:26:16	Stark's question um that I was referring
[4048] 3:26:20	for instance in evangelical circles say
[4049] 3:26:22	Mary wasn't the mother of god until I
[4050] 3:26:25	hear protestants proclaim Mary as mother
[4051] 3:26:27	of god okay um this whole idea of uh the
[4052] 3:26:31	theotocos
[4053] 3:26:34	is
[4054] 3:26:36	again I think this is a terminological
[4055] 3:26:38	issue that I think really um where
[4056] 3:26:41	sometimes there's more light than heat.
[4057] 3:26:44	Um here is where the confusion lies.
[4058] 3:26:48	Okay.
[4059] 3:26:52	uh the conclusion I mean almost all
[4060] 3:26:56	churches even
[4061] 3:26:59	even say um evangelical churches except
[4062] 3:27:03	the theotocos okay as it is properly
[4063] 3:27:08	defined
[4064] 3:27:10	that's the that's going to be the hiccup
[4065] 3:27:12	here the proper definition okay now
[4066] 3:27:16	here's the thing
[4067] 3:27:18	when somebody in eastern orthodoxy
[4068] 3:27:22	or Catholicism
[4069] 3:27:26	when properly defining this says Mary
[4070] 3:27:29	was the mother of God, the God man,
[4071] 3:27:33	Jesus incarnated, second person of the
[4072] 3:27:36	Trinity. That's what they mean.
[4073] 3:27:40	When somebody in the west hears Mary as
[4074] 3:27:44	the mother of God,
[4075] 3:27:46	they're thinking Trinity.
[4076] 3:27:49	Okay. Okay, they're not thinking second
[4077] 3:27:52	person when they hear God. They're
[4078] 3:27:55	thinking trinity.
[4079] 3:27:58	The conclusion,
[4080] 3:28:00	the confusion is second person of God
[4081] 3:28:04	versus
[4082] 3:28:06	the trinity. Okay? So, we know for
[4083] 3:28:11	example in the west from the creeds, God
[4084] 3:28:13	is father, son, holy spirit. It's driven
[4085] 3:28:16	into us. It's three persons, one God.
[4086] 3:28:21	So there's a confusion here between um
[4087] 3:28:25	between persons of God and God in
[4088] 3:28:29	totality.
[4089] 3:28:31	So that's the that's sort of the con the
[4090] 3:28:33	confusion here. uh all Protestant
[4091] 3:28:35	churches will accept
[4092] 3:28:38	the theotocos as properly defined which
[4093] 3:28:40	is Mary is the mother of the incarnated
[4094] 3:28:45	Christ
[4095] 3:28:48	human fully human fully God but second
[4096] 3:28:51	person of God okay
[4097] 3:28:55	so it's that confusion that we have to
[4098] 3:28:59	sort of resolve here now I have heard
[4099] 3:29:01	some Catholics and even some Ethan
[4100] 3:29:04	Orthodox
[4101] 3:29:05	say, well, she's mother of God in
[4102] 3:29:08	totality,
[4103] 3:29:10	as in God the Trinity.
[4104] 3:29:13	If she's if she's God of if she's mother
[4105] 3:29:16	of God um of the second person in
[4106] 3:29:18	Christ, then she must also be
[4107] 3:29:22	uh mother of the Trinity.
[4108] 3:29:25	That's a category error.
[4109] 3:29:28	So that's where an improper definition
[4110] 3:29:32	leads to a rejection of the idea of this
[4111] 3:29:35	this particular expression of theotocos
[4112] 3:29:37	which is incorrect
[4113] 3:29:41	and that's where you get start to get
[4114] 3:29:42	into heresy.
[4115] 3:29:44	So so this is why definitions matter so
[4116] 3:29:48	much.
[4117] 3:29:50	They matter a lot
[4118] 3:29:52	because if unless you're defining this
[4119] 3:29:54	stuff correctly you can end up in
[4120] 3:29:56	heresy.
[4121] 3:29:58	So
[4122] 3:30:00	um
[4123] 3:30:02	so uh most Protestant church will will
[4124] 3:30:05	agree with the theotocos they agree with
[4125] 3:30:07	that what's called the first Marian
[4126] 3:30:09	dogma. So the first Marian dogma doesn't
[4127] 3:30:11	get much resistance at least as it's
[4128] 3:30:14	properly defined and for a very very
[4129] 3:30:17	good definition of of this um you can go
[4130] 3:30:21	to St. Jonath Dabascus
[4131] 3:30:23	um his um his work on the Orthodox
[4132] 3:30:26	faith, he's got an excellent excellent
[4133] 3:30:30	definition of the theotocos. It's the
[4134] 3:30:33	best I've ever seen in writing
[4135] 3:30:35	and it's like yeah okay as I'm reading
[4136] 3:30:37	this I was going yeah absolutely this is
[4137] 3:30:39	good stuff. Um and it's a proper
[4138] 3:30:41	definition that every Protestant church
[4139] 3:30:43	could get behind.
[4140] 3:30:45	The problem is when it starts when you
[4141] 3:30:47	start talking about the orthobros who
[4142] 3:30:49	don't understand the difference between
[4143] 3:30:50	the second person and the trinity and
[4144] 3:30:53	conflate the two then you then you get
[4145] 3:30:55	some problems
[4146] 3:30:56	and that's where you get the rejections
[4147] 3:30:59	because Mary is not the mother of the
[4148] 3:31:02	trinity
[4149] 3:31:03	she's the mother of the God man
[4150] 3:31:08	the incarnation of of God and man fully
[4151] 3:31:12	God fully human but that second person
[4152] 3:31:15	of the Trinity.
[4153] 3:31:20	So, I hope that helps. Thank you very
[4154] 3:31:22	much for that question. Really
